99AA01-0717-0068	
This data is for reference only	
1769	0.9865
1770	0.9856
1771	0.9829
1772	0.9827
1773	0.9847
1774	0.9874
1775	0.9864
1776	0.9852
1777	0.9836
1778	0.9835
1779	0.9858
1780	0.9879
1781	0.9863
1782	0.9844
1783	0.9832
1784	0.9841
1785	0.9869
1786	0.9876
1787	0.9866
1788	0.9861
1789	0.9836
1790	0.9833
1791	0.9856
1792	0.9871
1793	0.9854
1794	0.9839
1795	0.9832
1796	0.9834
1797	0.9854
1798	0.9874
1799	0.9866
1800	0.9850
1801	0.9834
1802	0.9830
1803	0.9851
1804	0.9860
1805	0.9857
1806	0.9849
1807	0.9834
1808	0.9835
1809	0.9865
1810	0.9879
1811	0.9860
1812	0.9843
1813	0.9826
1814	0.9817
1815	0.9844
1816	0.9859
1817	0.9843
1818	0.9828
1819	0.9822
1820	0.9822
1821	0.9854
1822	0.9869
1823	0.9849
1824	0.9827
1825	0.9813
1826	0.9810
1827	0.9847
1828	0.9862
1829	0.9836
1830	0.9826
1831	0.9808
1832	0.9791
1833	0.9844
1834	0.9859
1835	0.9825
1836	0.9806
1837	0.9789
1838	0.9790
1839	0.9843
1840	0.9868
1841	0.9841
1842	0.9798
1843	0.9768
1844	0.9768
1845	0.9826
1846	0.9840
1847	0.9805
1848	0.9781
1849	0.9763
1850	0.9770
1851	0.9826
1852	0.9840
1853	0.9824
1854	0.9800
1855	0.9768
1856	0.9761
1857	0.9818
1858	0.9835
1859	0.9805
1860	0.9790
1861	0.9764
1862	0.9785
1863	0.9821
1864	0.9837
1865	0.9809
1866	0.9766
1867	0.9765
1868	0.9783
1869	0.9828
1870	0.9831
1871	0.9812
1872	0.9782
1873	0.9769
1874	0.9764
1875	0.9784
1876	0.9824
1877	0.9804
1878	0.9763
1879	0.9760
1880	0.9747
1881	0.9808
1882	0.9828
1883	0.9813
1884	0.9769
1885	0.9747
1886	0.9739
1887	0.9810
1888	0.9815
1889	0.9830
1890	0.9787
1891	0.9735
1892	0.9747
1893	0.9817
1894	0.9825
1895	0.9801
1896	0.9797
1897	0.9773
1898	0.9744
1899	0.9861
1900	0.9876
1901	0.9834
1902	0.9756
1903	0.9735
1904	0.9760
1905	0.9808
1906	0.9808
1907	0.9801
1908	0.9776
1909	0.9740
1910	0.9741
1911	0.9854
1912	0.9825
1913	0.9796
1914	0.9753
1915	0.9719
1916	0.9730
1917	0.9864
1918	0.9848
1919	0.9783
1920	0.9762
1921	0.9706
1922	0.9720
1923	0.9841
1924	0.9853
1925	0.9800
1926	0.9766
1927	0.9722
1928	0.9726
1929	0.9840
1930	0.9837
1931	0.9801
1932	0.9765
1933	0.9703
1934	0.9720
1935	0.9828
1936	0.9843
1937	0.9796
1938	0.9734
1939	0.9727
1940	0.9728
1941	0.9812
1942	0.9810
1943	0.9763
1944	0.9746
1945	0.9711
1946	0.9726
1947	0.9795
1948	0.9796
1949	0.9790
1950	0.9737
1951	0.9726
1952	0.9722
1953	0.9824
1954	0.9797
1955	0.9772
1956	0.9732
1957	0.9705
1958	0.9722
1959	0.9825
1960	0.9813
1961	0.9777
1962	0.9761
1963	0.9732
1964	0.9744
1965	0.9762
1966	0.9789
1967	0.9803
1968	0.9740
1969	0.9728
1970	0.9727
1971	0.9798
1972	0.9793
1973	0.9748
1974	0.9721
1975	0.9738
1976	0.9716
1977	0.9790
1978	0.9776
1979	0.9738
1980	0.9736
1981	0.9708
1982	0.9711
1983	0.9772
1984	0.9751
1985	0.9744
1986	0.9712
1987	0.9692
1988	0.9726
1989	0.9754
1990	0.9740
1991	0.9779
1992	0.9687
1993	0.9702
